Model,Overall Accuracy,Negative Class Accuracy,Positive Class Accuracy,Precision,Recall,F1 Score
Model A,0.9230769230769231,0.0,1.0,0.9230769230769231,1.0,0.9600000000000001
Model B,0.08615384615384615,1.0,0.01,1.0,0.01,0.019801980198019802
Model C (EfficientNet),0.7723076923076924,0.16,0.8233333333333334,0.9216417910447762,0.8233333333333334,0.869718309859155
Model D (DenseNet),0.09230769230769231,1.0,0.016666666666666666,1.0,0.016666666666666666,0.03278688524590164
Model E (ResNet50),0.9076923076923077,0.0,0.9833333333333333,0.921875,0.9833333333333333,0.9516129032258064
