,mean_intensity,std_intensity,entropy,count
true_positive,0.041099142,0.012792987,1.2100341663616936,300
true_negative,0.061559726,0.0,1.7329005177000876,1
false_positive,0.036960937,0.014895207,1.0502725564994557,24
