Model,Overall Accuracy,Negative Class Accuracy,Positive Class Accuracy,Precision,Recall,F1 Score
Model A,0.88,0.12,0.9433333333333334,0.9278688524590164,0.9433333333333334,0.9355371900826447
Model B,0.3169230769230769,0.56,0.2966666666666667,0.89,0.2966666666666667,0.445
Model C (EfficientNet),0.9261538461538461,0.04,1.0,0.9259259259259259,1.0,0.9615384615384615
Model D (DenseNet),0.9230769230769231,0.0,1.0,0.9230769230769231,1.0,0.9600000000000001
Model E (ResNet50),0.3723076923076923,0.64,0.35,0.9210526315789473,0.35,0.5072463768115941
