,mean_intensity,std_intensity,entropy,count
true_positive,0.045157336,0.0107945325,1.2624877872496036,105
true_negative,0.044956587,0.014290599,1.2437187147509399,16
false_positive,0.060726244,0.010174362,1.6763235159700132,9
false_negative,0.049529858,0.012367497,1.3826512305750467,195
