Model,accuracy,Indeterminant_precision,Indeterminant_recall,Indeterminant_f1,Negative_precision,Negative_recall,Negative_f1,Positive_precision,Positive_recall,Positive_f1
Model_A_base,0.6595744680851063,0.5263157894736842,0.47619047619047616,0.5,0.75,0.75,0.75,0.5263157894736842,0.6666666666666666,0.5882352941176471
Model_A_fine_tuned,0.6737588652482269,0.5517241379310345,0.38095238095238093,0.4507042253521127,0.6990291262135923,0.8571428571428571,0.7700534759358288,0.7777777777777778,0.4666666666666667,0.5833333333333334
Model_B_base,0.6595744680851063,0.5227272727272727,0.5476190476190477,0.5348837209302325,0.7241379310344828,0.75,0.7368421052631579,0.7,0.4666666666666667,0.56
Model_B_fine_tuned,0.6595744680851063,0.6666666666666666,0.19047619047619047,0.2962962962962963,0.6666666666666666,0.9285714285714286,0.7761194029850746,0.5833333333333334,0.4666666666666667,0.5185185185185185
Model_C_base,0.6382978723404256,0.5,0.16666666666666666,0.25,0.6551724137931034,0.9047619047619048,0.76,0.6363636363636364,0.4666666666666667,0.5384615384615384
Model_C_fine_tuned,0.6524822695035462,0.5,0.40476190476190477,0.4473684210526316,0.6868686868686869,0.8095238095238095,0.7431693989071039,0.875,0.4666666666666667,0.6086956521739131
Model_D_base,0.5957446808510638,0.0,0.0,0.0,0.5957446808510638,1.0,0.7466666666666667,0.0,0.0,0.0
Model_D_fine_tuned,0.10638297872340426,0.0,0.0,0.0,0.0,0.0,0.0,0.10638297872340426,1.0,0.19230769230769232

