2025-04-08 20:44:20,931 - INFO - Successfully preprocessed 580_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:22,383 - INFO - Successfully preprocessed 594_image.jpg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:44:22,956 - INFO - Successfully preprocessed 675_image.jpeg - Original: 1146x323, Final: 1146x323, Orientation: 0°
2025-04-08 20:44:23,761 - INFO - Successfully preprocessed 381_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:44:24,757 - INFO - Successfully preprocessed 139_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:44:25,530 - INFO - Successfully preprocessed 577_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:27,114 - INFO - Successfully preprocessed 425_image.jpg - Original: 1200x1600, Final: 1600x1200, Orientation: 90°
2025-04-08 20:44:28,470 - INFO - Successfully preprocessed 81_image.jpg - Original: 2160x3840, Final: 3840x2160, Orientation: 90°
2025-04-08 20:44:29,201 - INFO - Successfully preprocessed 159_image.jpg - Original: 1024x576, Final: 1024x576, Orientation: 0°
2025-04-08 20:44:30,027 - INFO - Successfully preprocessed 586_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:30,609 - INFO - Successfully preprocessed 592_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:31,493 - INFO - Successfully preprocessed 56_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
2025-04-08 20:44:33,218 - INFO - Successfully preprocessed 598_image.JPG - Original: 1280x958, Final: 1280x958, Orientation: 0°
2025-04-08 20:44:34,195 - INFO - Successfully preprocessed 153_image.jpg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:44:34,195 - INFO - Progress: 60/705 images processed
2025-04-08 20:44:34,916 - INFO - Successfully preprocessed 344_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
2025-04-08 20:44:35,674 - INFO - Successfully preprocessed 216_image.jpg - Original: 1552x1552, Final: 1552x1552, Orientation: 0°
2025-04-08 20:44:37,217 - INFO - Successfully preprocessed 595_image.JPG - Original: 1280x958, Final: 1280x958, Orientation: 0°
2025-04-08 20:44:37,923 - INFO - Successfully preprocessed 677_image.jpeg - Original: 867x1156, Final: 1156x867, Orientation: 90°
2025-04-08 20:44:38,650 - INFO - Successfully preprocessed 581_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:39,195 - INFO - Successfully preprocessed 701_image.jpeg - Original: 767x186, Final: 767x186, Orientation: 0°
2025-04-08 20:44:40,121 - INFO - Successfully preprocessed 109_image.jpeg - Original: 1599x1200, Final: 1599x1200, Orientation: 0°
2025-04-08 20:44:41,793 - INFO - Successfully preprocessed 62_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:44:42,295 - INFO - Successfully preprocessed 110_image.jpeg - Original: 759x166, Final: 759x166, Orientation: 0°
2025-04-08 20:44:43,132 - INFO - Successfully preprocessed 576_image.jpg - Original: 640x480, Final: 640x480, Orientation: 0°
2025-04-08 20:44:44,108 - INFO - Successfully preprocessed 210_image.jpg - Original: 3000x4000, Final: 4000x3000, Orientation: 90°
2025-04-08 20:44:45,066 - INFO - Successfully preprocessed 377_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:44:45,711 - INFO - Successfully preprocessed 593_image.jpg - Original: 640x496, Final: 640x496, Orientation: 0°
2025-04-08 20:44:46,598 - INFO - Successfully preprocessed 228_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:44:47,915 - INFO - Successfully preprocessed 587_image.jpg - Original: 4032x3024, Final: 4032x3024, Orientation: 0°
2025-04-08 20:44:49,208 - INFO - Successfully preprocessed 663_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:44:49,742 - INFO - Successfully preprocessed 165_image.jpg - Original: 720x173, Final: 720x173, Orientation: 0°
2025-04-08 20:44:50,461 - INFO - Successfully preprocessed 353_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
2025-04-08 20:44:51,013 - INFO - Successfully preprocessed 509_image.jpg - Original: 898x199, Final: 898x199, Orientation: 0°
2025-04-08 20:44:51,721 - INFO - Successfully preprocessed 435_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:44:51,722 - INFO - Progress: 80/705 images processed
2025-04-08 20:44:52,879 - INFO - Successfully preprocessed 692_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:44:53,610 - INFO - Successfully preprocessed 329_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
2025-04-08 20:44:54,192 - INFO - Successfully preprocessed 421_image.jpg - Original: 865x214, Final: 865x214, Orientation: 0°
2025-04-08 20:44:54,752 - INFO - Successfully preprocessed 567_image.jpg - Original: 1192x213, Final: 1192x213, Orientation: 0°
2025-04-08 20:44:55,543 - INFO - Successfully preprocessed 472_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:44:56,151 - INFO - Successfully preprocessed 492_image.jpg - Original: 1000x750, Final: 1000x750, Orientation: 0°
2025-04-08 20:44:56,856 - INFO - Successfully preprocessed 638_image.jpeg - Original: 1600x1200, Final: 1600x1200, Orientation: 0°
2025-04-08 20:44:57,734 - INFO - Successfully preprocessed 400_image.jpg - Original: 900x1600, Final: 1600x900, Orientation: 90°
2025-04-08 20:44:58,312 - INFO - Successfully preprocessed 546_image.jpg - Original: 720x218, Final: 720x218, Orientation: 0°
2025-04-08 20:44:59,361 - INFO - Successfully preprocessed 87_image.jpeg - Original: 498x1024, Final: 1024x498, Orientation: 90°
2025-04-08 20:44:59,984 - INFO - Successfully preprocessed 88_image.jpg - Original: 1280x622, Final: 1280x622, Orientation: 0°
2025-04-08 20:45:00,835 - INFO - Successfully preprocessed 220_image.jpg - Original: 1200x1600, Final: 1600x1200, Orientation: 90°
2025-04-08 20:45:01,536 - INFO - Successfully preprocessed 150_image.jpg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:45:02,253 - INFO - Successfully preprocessed 234_image.jpg - Original: 1170x584, Final: 1170x584, Orientation: 0°
2025-04-08 20:45:03,115 - INFO - Successfully preprocessed 671_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:45:03,731 - INFO - Successfully preprocessed 287_image.jpg - Original: 816x612, Final: 816x612, Orientation: 0°
2025-04-08 20:45:04,299 - INFO - Successfully preprocessed 552_image.jpg - Original: 898x317, Final: 898x317, Orientation: 0°
2025-04-08 20:45:05,316 - INFO - Successfully preprocessed 624_image.jpeg - Original: 1600x1200, Final: 1600x1200, Orientation: 0°
2025-04-08 20:45:06,069 - INFO - Successfully preprocessed 308_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
2025-04-08 20:45:07,055 - INFO - Successfully preprocessed 613_image.jpeg - Original: 1280x960, Final: 1280x960, Orientation: 0°
2025-04-08 20:45:07,056 - INFO - Progress: 100/705 images processed
2025-04-08 20:45:07,753 - INFO - Successfully preprocessed 414_image.jpg - Original: 1200x379, Final: 1200x379, Orientation: 0°
2025-04-08 20:45:08,564 - INFO - Successfully preprocessed 218_image.jpg - Original: 1552x1552, Final: 1552x1552, Orientation: 0°
2025-04-08 20:45:09,194 - INFO - Successfully preprocessed 504_image.jpg - Original: 1598x898, Final: 1598x898, Orientation: 0°
2025-04-08 20:45:09,820 - INFO - Successfully preprocessed 168_image.jpg - Original: 5632x1289, Final: 5632x1289, Orientation: 0°
2025-04-08 20:45:10,646 - INFO - Successfully preprocessed 442_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:45:11,444 - INFO - Successfully preprocessed 635_image.jpeg - Original: 1600x1200, Final: 1600x1200, Orientation: 0°
2025-04-08 20:45:12,210 - INFO - Successfully preprocessed 102_image.jpeg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:45:12,998 - INFO - Successfully preprocessed 438_image.jpg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:45:13,765 - INFO - Successfully preprocessed 657_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:45:14,575 - INFO - Successfully preprocessed 96_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:45:15,181 - INFO - Successfully preprocessed 510_image.jpg - Original: 1280x438, Final: 1280x438, Orientation: 0°
2025-04-08 20:45:15,860 - INFO - Successfully preprocessed 629_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:45:16,698 - INFO - Successfully preprocessed 36_image.jpg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:45:17,921 - INFO - Successfully preprocessed 477_image.jpg - Original: 720x1280, Final: 1280x720, Orientation: 90°
2025-04-08 20:45:18,522 - INFO - Successfully preprocessed 194_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:45:19,502 - INFO - Successfully preprocessed 401_image.jpeg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:45:20,356 - INFO - Successfully preprocessed 363_image.jpeg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:45:20,899 - INFO - Successfully preprocessed 531_image.jpg - Original: 1191x254, Final: 1191x254, Orientation: 0°
2025-04-08 20:45:22,559 - INFO - Successfully preprocessed 85_image.JPG - Original: 3024x4032, Final: 4032x3024, Orientation: 90°
2025-04-08 20:45:23,207 - INFO - Successfully preprocessed 525_image.jpg - Original: 1280x384, Final: 1280x384, Orientation: 0°
2025-04-08 20:45:23,208 - INFO - Progress: 120/705 images processed
2025-04-08 20:45:24,066 - INFO - Successfully preprocessed 239_image.jpg - Original: 960x494, Final: 960x494, Orientation: 0°
2025-04-08 20:45:25,282 - INFO - Successfully preprocessed 683_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:45:26,523 - INFO - Successfully preprocessed 463_image.jpg - Original: 900x1600, Final: 1600x900, Orientation: 90°
2025-04-08 20:45:27,305 - INFO - Successfully preprocessed 22_image.jpg - Original: 768x1024, Final: 1024x768, Orientation: 90°
2025-04-08 20:45:28,192 - INFO - Successfully preprocessed 419_image.jpg - Original: 1600x1200, Final: 1600x1200, Orientation: 0°
2025-04-08 20:45:29,066 - INFO - Successfully preprocessed 305_image.jpg - Original: 960x1280, Final: 1280x960, Orientation: 90°
2025-04-08 20:45:30,009 - INFO - Successfully preprocessed 596_image.JPG - Original: 1280x958, Final: 1280x958, Orientation: 0°
2025-04-08 20:45:30,560 - INFO - Successfully preprocessed 243_image.jpg - Original: 1040x292, Final: 1040x292, Orientation: 0°
2025-04-08 20:45:31,216 - INFO - Successfully preprocessed 156_image.jpg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:45:31,758 - INFO - Successfully preprocessed 226_image.jpg - Original: 392x816, Final: 816x392, Orientation: 90°
2025-04-08 20:45:32,464 - INFO - Successfully preprocessed 540_image.jpg - Original: 1173x349, Final: 1173x349, Orientation: 0°
2025-04-08 20:45:33,201 - INFO - Successfully preprocessed 295_image.jpg - Original: 1401x1296, Final: 1401x1296, Orientation: 0°
2025-04-08 20:45:34,109 - INFO - Successfully preprocessed 406_image.jpg - Original: 900x1600, Final: 1600x900, Orientation: 90°
2025-04-08 20:45:34,779 - INFO - Successfully preprocessed 3_image.jpg - Original: 577x1024, Final: 1024x577, Orientation: 90°
2025-04-08 20:45:35,524 - INFO - Successfully preprocessed 630_image.jpeg - Original: 1024x768, Final: 1024x768, Orientation: 0°
2025-04-08 20:45:36,187 - INFO - Successfully preprocessed 248_image.jpg - Original: 1280x298, Final: 1280x298, Orientation: 0°
2025-04-08 20:45:37,028 - INFO - Successfully preprocessed 607_image.jpeg - Original: 864x1536, Final: 1536x864, Orientation: 90°
2025-04-08 20:45:37,656 - INFO - Successfully preprocessed 318_image.jpeg - Original: 576x1024, Final: 1024x576, Orientation: 90°
2025-04-08 20:45:38,265 - INFO - Successfully preprocessed 554_image.jpg - Original: 1600x365, Final: 1600x365, Orientation: 0°
2025-04-08 20:45:39,061 - INFO - Successfully preprocessed 29_image.jpg - Original: 768x1024, Final: 1024x768, Orientation: 90°
