,mean_intensity,std_intensity,entropy,count
true_positive,0.056146037,0.014399813,1.5700697638308674,283
true_negative,0.055684406,0.020165663,1.5054852786771216,3
false_positive,0.06251807,0.012252771,1.7247945903406856,22
false_negative,0.0593944,0.012569865,1.650312282398302,17
